LocalProcessTimeDiffMs,LocalTimeDiffMs,LocalMonotonicDiffMs,RemoteDiffTimeMs
31.250000000,627.236843109,640.000000130,556.367675781
15.625000000,611.248254776,610.000000102,539.129394531
0.000000000,609.567880630,609.999999870,537.773681641
15.625000000,603.934764862,608.999999939,533.159667969
0.000000000,619.673252106,625.000000000,548.253662109
0.000000000,611.464977264,608.999999939,540.579833984
31.250000000,613.421440125,608.999999939,542.090087891
0.000000000,613.491058350,609.000000171,542.363525391
15.625000000,622.243881226,608.999999939,550.766601562
0.000000000,635.943651199,625.000000000,564.414062500
31.250000000,627.205371857,639.999999898,556.466552734
31.250000000,616.227865219,608.999999939,545.158447266
31.250000000,610.095739365,625.000000000,539.497802734
15.625000000,616.050481796,608.999999939,538.342285156
31.250000000,603.866100311,609.000000171,535.947998047
0.000000000,610.264539719,609.999999870,538.975341797
0.000000000,617.817878723,610.000000102,545.345703125
15.625000000,618.827581406,625.000000000,547.308593750
15.625000000,614.970445633,625.000000000,543.480712891
15.625000000,619.261980057,610.000000102,548.221191406
15.625000000,615.028619766,609.000000171,543.961425781
15.625000000,619.003295898,625.000000000,547.930419922
15.625000000,610.439538956,610.000000102,538.888671875
0.000000000,608.142614365,609.999999870,537.258789062
15.625000000,625.381946564,625.000000000,553.760742188
15.625000000,609.267473221,610.000000102,537.146972656
0.000000000,616.547346115,609.999999870,545.815185547
15.625000000,615.736484528,609.999999870,545.004638672
0.000000000,604.152679443,608.999999939,534.198974609
0.000000000,620.968818665,625.000000000,548.018798828
15.625000000,615.988731384,625.000000000,545.017578125
15.625000000,604.179620743,593.000000110,535.870849609
0.000000000,614.213943481,608.999999939,542.626464844
0.000000000,605.618715286,609.000000171,533.953125000
0.000000000,598.337650299,593.999999808,529.362304688
15.625000000,607.900142670,608.999999939,537.898437500
0.000000000,622.969388962,625.000000000,551.803466797
15.625000000,612.140178680,608.999999939,541.453125000
0.000000000,604.948759079,609.000000171,536.987304688
15.625000000,608.898162842,610.000000102,537.943115234
15.625000000,609.505653381,609.000000171,538.718994141
0.000000000,617.080926895,609.999999870,545.907470703
0.000000000,615.586519241,610.000000102,544.503417969
0.000000000,624.780178070,625.000000000,552.812500000
15.625000000,619.399547577,625.000000000,548.008056641
0.000000000,609.741210938,610.000000102,538.473876953
0.000000000,613.525629044,609.000000171,543.187011719
31.250000000,601.413488388,609.999999870,530.538085938
0.000000000,613.328218460,608.999999939,542.129150391
0.000000000,595.693588257,594.000000041,526.625000000
15.625000000,602.925300598,594.000000041,534.936279297
31.250000000,617.067813873,625.000000000,546.010253906
0.000000000,609.250307083,608.999999939,538.939697266
15.625000000,617.545604706,625.000000000,546.650634766
0.000000000,617.997884750,625.000000000,546.091552734
15.625000000,604.032754898,608.999999939,536.124755859
15.625000000,615.634679794,608.999999939,545.090576172
15.625000000,606.761455536,609.000000171,535.379150391
0.000000000,611.717700958,609.000000171,540.644775391
15.625000000,616.607666016,610.000000102,545.763427734
15.625000000,614.681482315,609.000000171,544.161621094
0.000000000,613.959312439,609.999999870,542.321289062
15.625000000,603.521108627,594.000000041,531.996093750
0.000000000,631.819009781,625.000000000,560.502441406
0.000000000,618.080615997,625.000000000,546.316406250
31.250000000,602.017879486,610.000000102,533.230468750
15.625000000,609.814643860,609.999999870,538.415283203
0.000000000,614.521980286,608.999999939,543.393310547
15.625000000,614.942073822,608.999999939,543.491210938
0.000000000,609.586715698,608.999999939,538.548583984
15.625000000,610.527038574,609.000000171,539.797119141
0.000000000,631.169319153,625.000000000,560.953125000
0.000000000,610.860109329,608.999999939,539.529785156
31.250000000,615.354299545,608.999999939,542.480957031
0.000000000,620.350599289,625.000000000,549.101318359
0.000000000,613.359212875,608.999999939,542.558105469
15.625000000,613.876342773,608.999999939,542.864990234
0.000000000,622.844219208,625.000000000,549.924804688
15.625000000,597.637891769,608.999999939,529.257812500
15.625000000,619.145870209,609.000000171,548.468261719
0.000000000,607.982635498,594.000000041,539.110107422
15.625000000,608.375549316,610.000000102,537.021484375
0.000000000,627.654314041,625.000000000,556.600830078
0.000000000,624.784469604,625.000000000,553.663574219
15.625000000,609.945058823,610.000000102,537.647705078
15.625000000,609.605789185,609.000000171,538.699951172
31.250000000,604.997396469,609.999999870,533.861816406
15.625000000,611.983537674,608.999999939,541.806152344
15.625000000,614.588022232,625.000000000,541.821044922
