measure,ms
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,616.154193878
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28397.070800781
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,603.428602219
LocalMonotonicDiffMs,609.000000171
RemoteDiffTimeMs,28384.915527344
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,608.978033066
LocalMonotonicDiffMs,609.000000171
RemoteDiffTimeMs,28389.906982422
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,605.031251907
LocalMonotonicDiffMs,610.000000335
RemoteDiffTimeMs,28386.929931641
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,637.849807739
LocalMonotonicDiffMs,640.000000130
RemoteDiffTimeMs,28415.897949219
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,627.508401871
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28405.154541016
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,628.164291382
LocalMonotonicDiffMs,640.999999829
RemoteDiffTimeMs,28403.525878906
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,623.435974121
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28404.359130859
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,613.967895508
LocalMonotonicDiffMs,610.000000335
RemoteDiffTimeMs,28395.908935547
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,611.688613892
LocalMonotonicDiffMs,609.999999870
RemoteDiffTimeMs,28391.805664062
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,605.349540710
LocalMonotonicDiffMs,609.999999870
RemoteDiffTimeMs,28386.114013672
LocalProcessTimeDiffMs,46.875000000
LocalTimeDiffMs,605.044364929
LocalMonotonicDiffMs,608.999999706
RemoteDiffTimeMs,28384.701416016
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,604.550361633
LocalMonotonicDiffMs,594.000000041
RemoteDiffTimeMs,28386.615234375
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,621.416091919
LocalMonotonicDiffMs,609.999999870
RemoteDiffTimeMs,28403.048828125
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,605.817794800
LocalMonotonicDiffMs,594.000000041
RemoteDiffTimeMs,28387.589355469
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,620.009422302
LocalMonotonicDiffMs,610.000000335
RemoteDiffTimeMs,28401.015380859
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,628.234624863
LocalMonotonicDiffMs,640.000000130
RemoteDiffTimeMs,28403.886718750
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,613.456964493
LocalMonotonicDiffMs,609.000000171
RemoteDiffTimeMs,28393.576416016
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,609.455108643
LocalMonotonicDiffMs,610.000000335
RemoteDiffTimeMs,28391.050537109
LocalProcessTimeDiffMs,0.000000000
LocalTimeDiffMs,606.079101562
LocalMonotonicDiffMs,594.000000041
RemoteDiffTimeMs,28386.477050781
LocalProcessTimeDiffMs,31.250000000
LocalTimeDiffMs,623.819351196
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28402.031738281
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,621.989727020
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28402.094482422
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,605.553865433
LocalMonotonicDiffMs,594.000000041
RemoteDiffTimeMs,28387.000488281
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,604.074716568
LocalMonotonicDiffMs,594.000000041
RemoteDiffTimeMs,28383.005126953
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,614.104509354
LocalMonotonicDiffMs,608.999999706
RemoteDiffTimeMs,28395.931640625
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,616.606950760
LocalMonotonicDiffMs,625.000000000
RemoteDiffTimeMs,28394.700439453
LocalProcessTimeDiffMs,15.625000000
LocalTimeDiffMs,612.206459045
LocalMonotonicDiffMs,609.000000171
RemoteDiffTimeMs,28388.137451172
