time_of_day,proc_time_ms
12:33:49.050,75.9
12:34:22.680,4.26
12:34:26.210,3.06
12:43:27.191,5.22
12:43:43.476,130.45
12:43:49.870,13.57
12:44:38.440,3.1
12:44:40.687,2.76
12:44:54.448,40.08
12:45:12.606,2.18
12:45:54.066,2.77
13:20:58.389,44.1
13:21:00.479,2.96
13:21:13.440,3.27
13:21:15.870,2.85
13:58:08.918,2.91
13:58:18.750,2.21
15:18:00.890,478.67
15:18:00.997,157.2
16:08:32.863,10.64
16:27:52.987,2.94
16:28:02.991,9.13
16:28:03.959,3.15
16:28:10.944,2.07
16:28:12.671,2.27
16:28:14.593,2.66
16:28:18.042,2.05
16:28:19.636,2.02
16:28:21.561,1.95
16:28:28.733,1.87
16:28:34.141,8.74
16:28:36.151,1.9
16:28:42.251,5.12
16:28:56.711,6.57
16:28:58.687,1.9
16:29:06.812,6.81
16:29:07.660,2
16:29:14.781,9.74
16:29:23.486,6.93
16:29:31.917,6.41
16:29:37.763,6.11
16:29:44.995,6.02
16:30:06.390,7.11
16:30:36.671,8.78
16:38:02.658,6.18
16:38:30.794,6.54
16:38:43.354,9.32
16:38:55.689,3.98
16:39:29.181,5.29
16:39:41.873,5.09
16:40:47.989,7.24
16:40:53.103,6.18
16:41:03.273,5.93
16:41:24.265,4.26
16:41:34.547,5.72
16:41:57.441,5.55
16:42:09.362,5.13
16:42:15.724,9.34
17:07:05.670,11.02
17:13:39.175,2.27
17:14:40.908,2.64
17:14:46.841,2.85
17:14:52.278,3.01
17:14:59.695,2.11
17:20:18.049,71.62
17:20:36.482,33.22
17:20:52.703,25.6
18:07:17.433,70.66
18:07:21.612,5.97
18:07:27.743,5.27
18:20:35.731,64.57
18:20:50.858,3.26
18:20:59.942,3.33
18:21:07.553,12.14
18:21:26.700,3.52
18:21:36.454,4.75
18:21:42.094,4.25
18:22:19.512,3.42
18:22:24.516,14.61
18:22:29.939,2.75
18:22:36.014,9.89
18:22:55.073,2.54
18:23:08.706,2.5
18:23:23.426,2.4
18:23:36.106,2
18:23:50.011,1.98
18:23:54.519,1.88
18:23:57.981,2.17
18:24:06.284,2
18:24:08.627,2.35
18:24:10.767,1.82
18:24:12.230,1.78
18:24:14.621,1.93
18:24:15.788,2.49
18:25:41.063,2.47
18:26:12.647,1.91
18:26:24.684,1.88
18:26:33.460,2.11
18:26:44.379,1.83
18:26:54.680,1.85
18:27:02.524,1.86
18:27:06.419,12.6
18:27:10.339,2.19
18:27:22.419,2.71
18:27:34.407,2.33
18:27:40.483,2.23
18:27:51.811,2.72
18:28:08.544,2.35
18:40:09.998,39.24
18:54:42.721,1.95
18:54:45.031,1.87
18:54:47.768,3.12
18:54:50.768,3.4
18:54:59.053,1.78
18:55:01.196,1.62
18:56:26.598,3.17
18:56:39.116,2.71
18:56:50.112,2.48
18:57:02.088,2.37
18:57:14.776,3.09
18:57:36.893,2.54
18:57:40.622,2.38
18:58:36.514,2.61
18:58:45.559,2.5
18:58:48.604,2.5
18:58:58.319,3.6
18:59:10.538,2.26
19:27:55.241,64.23
19:36:53.256,351.77
19:37:05.489,7.11
19:37:10.085,2.63
19:48:41.111,1.72
19:48:47.776,2.01
19:50:01.725,1.83
19:50:06.615,2.91
19:52:38.793,1.84
19:52:50.519,2.04
20:08:52.534,2.63
20:08:59.318,1.96
20:09:06.198,1.86
20:09:15.296,1.56
20:09:41.980,1.89
20:09:51.015,1.62
20:11:11.315,12.56
20:12:34.470,1.63
20:12:41.198,1.56
20:12:48.596,1.55
20:12:55.140,1.57
20:13:05.675,1.64
20:13:11.564,8.47
20:13:22.225,4.89
20:13:34.437,1.77
20:13:50.196,1.43
20:13:57.203,7.23
20:14:00.017,11.16
20:14:23.802,8.33
20:14:37.197,1.79
20:14:48.065,1.65
20:14:56.419,1.97
20:15:50.867,15.7
20:15:58.034,1.41
20:16:24.465,1.5
20:16:27.826,1.35
20:16:45.529,1.6
20:17:22.434,1.37
20:17:52.753,1.24
20:18:54.619,1.69
20:19:07.986,3.33
20:19:12.601,1.87
20:19:23.623,14.12
20:19:38.051,13.85
20:19:39.179,1.77
20:19:47.611,13.48
20:19:49.902,1.74
20:19:53.738,1.6
20:20:16.844,1.18
20:20:26.539,1.61
20:20:35.585,1.18
20:20:38.375,1.22
20:20:55.603,14.36
20:21:08.894,1.23
20:21:11.171,1.18
20:21:44.898,1.5
20:23:47.657,5.09
20:23:52.046,6.07
20:26:42.088,1.86
20:26:49.229,1.64
20:33:07.401,82.67
20:33:21.680,37.63
20:33:31.114,3
20:33:40.329,2.45
20:34:07.051,2.31
20:34:16.810,1.56
20:34:32.258,2.13
20:34:41.232,2.11
20:34:43.446,1.44
20:34:55.261,1.89
20:35:02.945,2
20:35:05.996,2.06
20:35:10.993,1.86
20:35:13.117,2
20:35:15.869,1.79
20:35:17.532,1.88
20:35:25.922,1.84
20:35:28.090,1.83
20:35:42.757,1.88
20:37:19.271,2.08
20:38:25.579,2.03
20:38:48.968,19.92
20:38:57.627,14.41
20:39:00.886,1.99
20:39:12.057,1.93
20:42:37.241,5.05
20:42:51.096,4.85
20:42:53.575,1.43
20:42:56.960,2.97
20:43:03.444,1.78
20:43:10.274,3.86
20:43:13.796,2.54
20:43:23.082,2.89
20:56:23.987,2.2
20:56:47.808,1.85
20:56:58.420,1.67
21:01:30.616,2.3
21:01:34.368,1.96
21:01:36.985,1.88
21:01:40.177,1.84
21:01:45.520,2.01
21:01:49.394,1.85
21:01:56.165,1.86
21:02:03.074,1.89
21:02:04.908,1.76
21:02:06.796,1.79
21:02:08.437,1.73
21:02:11.117,1.76
21:02:12.841,1.46
21:02:17.836,1.56
21:02:23.974,1.46
21:02:26.676,1.87
21:02:28.628,1.42
21:02:34.593,1.55
21:02:38.314,1.39
21:02:40.342,1.36
21:02:49.085,1.42
21:02:51.813,1.34
21:02:54.587,1.43
21:02:59.276,1.36
21:08:27.280,4.11
21:08:29.649,7.13
21:13:23.386,9.04
21:13:39.329,8.06
21:18:36.122,5.94
21:19:06.537,5.94
21:19:47.126,5.58
21:20:01.518,5.41
21:20:10.684,5.64
21:20:20.514,5.28
21:20:32.067,5.32
21:20:44.013,5.11
21:20:51.640,5.09
21:33:55.616,2.2
21:34:03.914,1.75
21:47:03.882,1.73
22:05:06.683,2.85
22:05:09.895,2.17
22:05:11.598,2.1
22:05:13.395,3.31
22:05:15.888,2.06
22:05:18.268,2.01
22:05:30.982,2.03
22:05:36.524,2.09
22:05:42.755,2
01:20:01.752,4.56
01:20:20.008,2.46
01:20:36.819,2.12
01:20:54.046,1.94
01:20:59.195,1.95
01:21:04.177,1.94
02:02:17.121,4.54
02:02:38.515,2.41
02:02:49.215,2.08
02:02:57.915,3
02:03:05.824,8.43
02:03:12.886,2.18
02:03:22.094,2.14
02:03:30.796,2.06
04:27:54.376,4.85
04:29:03.425,2.53
04:29:15.363,2.26
04:29:55.493,2.07
04:29:59.260,9.92
04:30:02.193,1.82
04:30:12.683,2.76
04:30:26.659,1.83
04:37:08.679,2.66
04:37:12.881,2.12
04:37:16.827,2.05
04:37:19.246,2.19
04:37:21.260,2.12
05:30:05.198,49.86
06:07:45.590,2.96
06:07:49.220,1.66
06:14:03.486,4.08
06:14:24.655,5.76
06:14:56.061,4.79
06:14:57.711,1.63
06:25:46.655,1.62
06:25:49.062,1.79
06:48:46.561,1.99
06:48:48.875,2.63
06:48:52.315,1.57
06:48:58.085,1.35
06:59:33.269,30.81
06:59:39.948,3.01
07:00:30.587,2.92
07:04:45.495,27.63
07:05:32.180,2.85
07:11:57.589,1.87
07:12:13.994,22.94
07:12:23.129,23.01
07:35:21.414,2.69
07:35:28.467,1.99
07:35:31.759,2.01
07:35:38.311,1.94
07:42:26.790,2.8
07:42:44.168,2.23
07:42:53.635,2.17
07:43:03.311,2.11
07:43:10.940,2.15
07:43:19.132,2.09
07:43:25.891,2.03
07:43:29.851,2.03
07:44:06.041,3.38
08:50:39.853,8.73
08:59:21.126,25.08
08:59:36.110,1.7
08:59:41.795,1.19
08:59:45.285,1.23
08:59:48.341,1.53
08:59:50.646,1.7
08:59:52.995,1.55
08:59:55.985,1.49
08:59:58.892,1.57
09:00:04.139,1.47
09:00:07.460,1.5
09:00:10.989,1.63
09:01:33.958,3.39
10:46:21.244,8.12
10:46:34.534,2.81
10:46:39.335,4.04
10:46:42.369,3.89
10:47:04.767,3.83
10:47:15.482,2.97
12:46:19.083,5.53
12:46:54.993,2.51
12:47:00.564,5.01
12:47:18.189,1.67
12:47:30.956,1.61
12:47:34.954,3.65
12:47:39.523,1.71
13:00:38.452,3.59
13:00:45.961,6.07
13:00:46.937,2.94
13:01:04.286,4.48
13:01:06.567,2.77
13:01:10.375,2.91
