"Date","Austin","Charlotte","Chicago","Columbus","Dallas","Detroit","El Paso","Fort Worth","Houston","Indianapolis","Jacksonville","Los Angeles","New York","Philadelphia","Phoenix","San Antonio","San Diego","San Francisco","San Jose","Seattle"
"2010-01-01",12.8,10.0,0.6,0.6,10.6,2.2,11.1,11.1,13.3,6.7,16.1,20.6,4.4,5.6,20.0,13.9,20.6,13.9,17.2,11.1
"2010-01-02",13.3,1.1,6.7,7.1,11.7,8.9,13.3,11.7,13.3,7.8,11.1,24.4,1.1,0.0,21.7,13.3,24.4,12.8,14.4,8.3
"2010-01-03",9.4,1.1,10.0,8.2,7.8,6.1,13.9,8.3,9.4,6.7,6.1,26.7,5.6,2.8,21.7,12.8,23.9,12.8,15.6,8.9
"2010-01-04",8.3,3.3,5.6,4.9,2.8,4.4,12.8,3.9,8.9,6.7,8.9,23.9,1.1,0.0,23.3,11.1,23.9,12.2,13.9,9.4
"2010-01-05",9.4,3.3,6.1,5.5,5.0,2.8,13.9,4.4,10.0,6.7,7.2,24.4,1.1,0.6,22.8,10.0,22.8,16.1,15.0,10.0
"2010-01-06",11.1,5.0,3.3,6.0,9.4,2.2,16.7,9.4,12.2,4.4,9.4,22.8,1.1,3.3,20.6,11.7,20.6,12.2,15.0,10.0
"2010-01-07",11.7,8.3,4.4,5.5,7.8,2.8,6.7,9.4,11.1,3.9,13.9,19.4,2.8,4.4,20.6,12.2,20.0,11.7,14.4,8.9
"2010-01-08",1.7,2.2,1.1,5.5,1.1,2.2,3.9,1.7,0.6,4.4,7.2,25.0,0.6,0.6,21.1,1.1,24.4,12.2,14.4,7.8
"2010-01-09",5.6,2.8,3.9,6.0,3.3,3.3,8.3,2.2,6.1,6.1,2.8,23.9,1.1,1.1,21.1,6.7,23.9,12.2,12.2,12.2
"2010-01-10",8.9,3.9,3.3,7.7,6.7,2.2,13.3,7.2,7.2,6.7,6.7,23.3,2.2,1.1,21.7,9.4,23.3,11.1,13.3,12.8
"2010-01-11",13.9,7.2,6.7,5.5,13.3,5.6,13.3,13.3,13.9,3.3,10.6,25.0,0.6,0.6,22.8,13.3,23.3,13.3,13.3,13.9
"2010-01-12",18.9,7.2,2.2,3.8,14.4,2.2,15.0,13.3,17.8,0.6,13.3,18.9,1.7,1.7,23.9,18.9,19.4,16.7,17.2,11.7
"2010-01-13",14.4,7.8,1.7,1.6,16.7,0.6,13.9,16.1,15.0,3.9,13.3,17.2,1.7,3.3,22.2,12.2,17.2,15.6,16.7,13.3
"2010-01-14",15.6,12.2,3.3,3.9,12.8,3.3,13.9,12.2,15.0,7.8,17.2,21.7,5.6,8.3,22.8,15.6,19.4,15.0,16.1,8.9
"2010-01-15",13.3,15.6,5.0,4.4,13.9,3.3,15.0,12.8,12.2,5.6,20.0,22.8,10.0,11.7,23.3,13.3,21.7,12.2,17.2,10.6
"2010-01-16",16.7,13.9,1.7,3.3,15.0,1.1,15.6,13.9,11.1,3.9,20.6,20.0,9.4,11.7,21.1,16.7,18.9,13.9,17.2,7.2
"2010-01-17",17.2,15.0,1.7,3.3,17.8,0.6,16.7,18.9,17.8,3.9,23.3,17.2,7.8,6.7,20.6,17.2,16.7,13.3,13.3,11.1
"2010-01-18",21.7,17.8,3.3,0.0,20.0,0.0,17.2,22.2,21.1,0.6,18.3,16.7,10.0,11.7,15.0,21.7,16.1,14.4,13.9,15.0
"2010-01-19",22.8,18.3,2.2,1.1,21.7,1.1,18.3,21.7,25.6,2.2,21.1,15.0,8.9,10.6,20.0,21.1,16.7,14.4,14.4,15.6
"2010-01-20",23.3,21.1,4.4,1.1,21.1,0.0,14.4,20.6,23.3,1.1,21.7,14.4,5.0,6.7,17.8,21.7,15.6,12.8,12.8,13.9
"2010-01-21",25.0,12.2,1.1,7.2,18.3,1.7,18.9,18.3,25.6,3.9,19.4,14.4,5.0,6.1,16.1,25.6,16.7,10.6,10.0,13.3
"2010-01-22",24.4,7.2,1.7,7.2,24.4,3.9,15.0,23.3,23.9,4.4,23.3,12.2,6.7,7.2,15.6,23.3,14.4,9.4,10.6,8.9
"2010-01-23",22.2,9.4,2.2,9.4,17.2,2.2,9.4,17.8,23.3,9.4,15.6,14.4,4.4,6.1,13.9,23.3,15.0,12.2,13.9,9.4
"2010-01-24",18.9,18.3,8.3,10.0,13.9,7.8,10.0,14.4,20.0,12.8,25.6,15.6,10.0,13.9,14.4,19.4,16.7,12.2,12.2,7.8
"2010-01-25",20.0,18.3,8.3,8.9,14.4,7.2,11.1,13.9,18.9,3.3,22.2,17.8,13.9,16.1,16.7,21.1,17.2,13.9,13.9,12.2
"2010-01-26",20.6,9.4,1.1,2.1,15.6,0.6,13.3,14.4,20.6,3.9,17.8,14.4,9.4,6.7,19.4,21.7,15.6,11.7,13.9,8.9
"2010-01-27",21.1,8.9,3.3,0.0,18.9,2.8,15.0,18.3,19.4,0.0,16.7,18.9,3.9,4.4,17.2,20.6,17.8,12.2,13.3,9.4
"2010-01-28",20.0,17.2,4.4,0.0,14.4,3.3,8.9,14.4,18.9,0.0,20.0,19.4,5.6,8.3,17.8,20.6,17.8,13.3,15.0,12.8
"2010-01-29",18.3,7.8,8.9,8.8,6.1,6.1,8.3,7.8,19.4,7.2,18.9,17.8,5.0,4.4,19.4,18.9,17.2,15.6,16.7,13.3
"2010-01-30",7.8,0.6,6.1,4.3,0.0,6.1,12.2,1.1,3.9,3.3,21.1,15.0,6.7,6.1,20.0,11.7,16.7,14.4,15.6,8.9
"2010-01-31",2.2,4.4,4.4,2.1,3.9,2.2,15.0,1.1,7.2,1.7,8.9,16.7,1.1,1.1,20.6,2.8,16.1,12.8,16.1,9.4
"2010-02-01",7.8,8.9,0.6,0.6,8.3,2.2,17.2,6.7,9.4,2.8,16.1,17.8,1.7,2.2,19.4,7.8,17.2,14.4,17.2,9.4
"2010-02-02",12.2,3.9,0.6,5.0,11.1,1.7,17.8,10.0,15.0,3.9,16.1,16.1,0.6,2.2,22.8,11.7,16.7,13.3,15.0,12.2
"2010-02-03",9.4,11.1,2.2,2.8,7.8,1.1,7.8,7.8,12.2,0.0,12.8,18.3,3.9,4.4,21.7,10.6,17.2,15.6,17.2,10.0
"2010-02-04",8.9,7.2,1.1,3.3,6.7,0.6,13.3,6.1,12.8,3.3,18.9,17.2,2.8,4.4,20.0,10.6,17.2,15.0,15.0,13.9
